IN,OUT,No,R2,MSE,MAE
23,6,2,0.982897497,0.005225715,0.047285113
23,6,3,0.955460645,0.013596615,0.075861356
23,6,4,0.916448551,0.025483117,0.103340223
23,6,5,0.866053893,0.040817422,0.131047243
23,6,6,0.807920322,0.058478439,0.156469176
23,7,1,0.996966847,0.000928518,0.019499777
23,7,2,0.98292347,0.005222671,0.047247453
23,7,3,0.955523003,0.013590063,0.07580429
23,7,4,0.916551504,0.025474483,0.103271081
23,7,5,0.866200592,0.0408087,0.13097946
23,7,6,0.808111634,0.058474178,0.156422132
23,7,7,0.748948297,0.076432405,0.179678687
23,8,1,0.996968077,0.000928673,0.01949625
23,8,2,0.982926886,0.005224612,0.047249986
23,8,3,0.955522362,0.013597757,0.07584051
23,8,4,0.91654711,0.025489058,0.103327277
23,8,5,0.866190477,0.040831989,0.131047562
23,8,6,0.808095267,0.058507656,0.156509016
23,8,7,0.748931533,0.076475626,0.179763774
23,8,8,0.687993533,0.094947451,0.201519859
24,1,1,0.99694658,0.000930005,0.019532172
24,2,1,0.996946915,0.000930367,0.019533471
24,2,2,0.982850079,0.005221274,0.047221494
24,3,1,0.996950209,0.000930183,0.019523245
24,3,2,0.982872128,0.00521938,0.04719267
24,3,3,0.955297259,0.013609698,0.075835833
24,4,1,0.99695295,0.000930179,0.019521705
24,4,2,0.982887882,0.005219181,0.047184325
24,4,3,0.95534649,0.013607273,0.07579981
24,4,4,0.916223064,0.025505793,0.103406786
24,5,1,0.996956545,0.000929936,0.019510872
24,5,2,0.98290621,0.005218254,0.047162447
24,5,3,0.955394416,0.013604663,0.075765509
24,5,4,0.916327556,0.02549752,0.103338578
24,5,5,0.866064534,0.0407765,0.13093354
24,6,1,0.996961343,0.00092934,0.019492856
24,6,2,0.982927121,0.005216663,0.047134391
24,6,3,0.95544885,0.013600215,0.075733534
24,6,4,0.916415103,0.025493319,0.103316655
24,6,5,0.866159572,0.040785219,0.13094538
24,6,6,0.808140908,0.058411282,0.156359554
24,7,1,0.99696207,0.000929649,0.019492709
24,7,2,0.98293685,0.005216566,0.047119356
24,7,3,0.955467935,0.013601451,0.075715644
24,7,4,0.916437676,0.025499051,0.103304559
24,7,5,0.86617683,0.040799827,0.130949582
24,7,6,0.808141501,0.05844023,0.156398303
24,7,7,0.748803195,0.076442314,0.179649748
24,8,1,0.996966089,0.000929282,0.019480676
24,8,2,0.982956381,0.005215586,0.047099198
24,8,3,0.955510421,0.013601407,0.075713273
24,8,4,0.916514414,0.025499045,0.103303219
24,8,5,0.866296101,0.040799758,0.130945513
24,8,6,0.808316453,0.058440221,0.15639606
24,8,7,0.749034164,0.076444365,0.179636653
24,8,8,0.688199115,0.09488489,0.201367663
25,1,1,0.996947366,0.000929371,0.01953698
25,2,1,0.996950719,0.000929208,0.019527565
25,2,2,0.982855863,0.005219513,0.04719449
25,3,1,0.99695398,0.000929034,0.019517917
25,3,2,0.982878116,0.005217555,0.047164855
25,3,3,0.955278363,0.013615452,0.075841648
25,4,1,0.996956732,0.000929024,0.019516121
25,4,2,0.982893906,0.005217343,0.047155503
25,4,3,0.955327277,0.013613127,0.075807968
25,4,4,0.916421296,0.025445441,0.103240805
25,5,1,0.996960297,0.000928789,0.019506164
25,5,2,0.982911959,0.005216499,0.047135793
25,5,3,0.955360724,0.013614939,0.075789974
25,5,4,0.916523785,0.025437723,0.103177035
25,5,5,0.866158051,0.040748029,0.130806345
25,6,1,0.99696227,0.000928698,0.019498448
25,6,2,0.982916356,0.005217866,0.04713232
25,6,3,0.955365557,0.013620205,0.075795297
25,6,4,0.916523755,0.025450125,0.103200898
25,6,5,0.86614931,0.040771012,0.130866993
25,6,6,0.8081851,0.058371662,0.156378411
25,7,1,0.996965906,0.000928475,0.019487874
25,7,2,0.98294246,0.005214851,0.047092082
25,7,3,0.955442779,0.013609135,0.075719196
25,7,4,0.916595783,0.025450805,0.103149826
