IN,OUT,No,R2,MSE,MAE
22,3,1,0.99694239,0.000932941,0.019442886
22,3,2,0.982644473,0.005290842,0.047585463
22,3,3,0.954012865,0.014006683,0.0769044
22,4,1,0.996942335,0.000933419,0.019448394
22,4,2,0.982643392,0.00529375,0.047604382
22,4,3,0.95401678,0.014012475,0.076912734
22,4,4,0.91334631,0.026381617,0.105140229
22,5,1,0.996946784,0.000932918,0.019436011
22,5,2,0.982656775,0.0052944,0.047590194
22,5,3,0.954065589,0.014009954,0.076879695
22,5,4,0.913438752,0.026377825,0.105096387
22,5,5,0.861349611,0.042211953,0.133246667
22,6,1,0.996949843,0.000932857,0.019435338
22,6,2,0.982684851,0.005290689,0.047573127
22,6,3,0.95413569,0.014001086,0.076846388
22,6,4,0.913517753,0.026377008,0.1050945
22,6,5,0.861495303,0.042206562,0.133250602
22,6,6,0.802932507,0.059996974,0.15885389
22,7,1,0.996953232,0.000932686,0.019421978
22,7,2,0.982706267,0.0052891,0.047539485
22,7,3,0.954209195,0.013991501,0.076796378
22,7,4,0.913632188,0.026365669,0.10503763
22,7,5,0.861665382,0.042191935,0.133189387
22,7,6,0.803118503,0.059995736,0.15884911
22,7,7,0.739667275,0.079258002,0.182721409
22,8,1,0.996958057,0.00093205,0.01941458
22,8,2,0.982725795,0.005288033,0.047520836
22,8,3,0.954249225,0.013992377,0.076796587
22,8,4,0.913708332,0.026366646,0.105063158
22,8,5,0.861732284,0.042209252,0.133240771
22,8,6,0.803295274,0.059994766,0.158880927
22,8,7,0.739846214,0.079276712,0.182765347
22,8,8,0.674400827,0.099128298,0.20560054
23,1,1,0.996945248,0.000930411,0.019436375
23,2,1,0.996948779,0.000930167,0.0194225
23,2,2,0.982610572,0.005296442,0.047628563
23,3,1,0.996949275,0.000930468,0.019422127
23,3,2,0.982617681,0.005296917,0.047617572
23,3,3,0.954053612,0.013988325,0.076865078
23,4,1,0.996953237,0.000930091,0.019414304
23,4,2,0.982642758,0.005293943,0.047594211
23,4,3,0.954092731,0.013989331,0.076842739
23,4,4,0.913377668,0.02637207,0.105131541
23,5,1,0.99695646,0.000929962,0.019406963
23,5,2,0.982653362,0.005295442,0.047589317
23,5,3,0.954147505,0.01398497,0.076807385
23,5,4,0.91347613,0.026366435,0.105070696
23,5,5,0.861437572,0.042185173,0.133175375
23,6,1,0.996960138,0.000929709,0.019399556
23,6,2,0.982669893,0.00529526,0.047577765
23,6,3,0.954172065,0.013989982,0.076802035
23,6,4,0.913520037,0.026376311,0.105085111
23,6,5,0.861560607,0.042186663,0.13318857
23,6,6,0.803028753,0.059967672,0.158779741
23,7,1,0.996963903,0.000929419,0.019386221
23,7,2,0.982695116,0.005292511,0.047552335
23,7,3,0.954255652,0.013977306,0.076751372
23,7,4,0.913635685,0.026364601,0.105043722
23,7,5,0.861722202,0.042174605,0.133153666
23,7,6,0.80317505,0.059978504,0.158780551
23,7,7,0.739346602,0.07935563,0.182889084
23,8,1,0.996965246,0.00092954,0.019381967
23,8,2,0.98269939,0.005294229,0.047552146
23,8,3,0.954256121,0.013984873,0.076779494
23,8,4,0.913631529,0.026379566,0.105095074
23,8,5,0.861711828,0.042198649,0.133221973
23,8,6,0.803159272,0.060012535,0.158857938
23,8,7,0.739333398,0.079399225,0.182961232
23,8,8,0.674328279,0.099105958,0.20552494
24,1,1,0.996938005,0.000932617,0.019441088
24,2,1,0.996938459,0.000932944,0.019441329
24,2,2,0.982647676,0.005282895,0.047584008
24,3,1,0.996939698,0.000933389,0.019443046
24,3,2,0.982673376,0.005279945,0.047550097
24,3,3,0.95400221,0.014003975,0.076957337
24,4,1,0.996944461,0.00093277,0.019424665
24,4,2,0.982680375,0.00528247,0.047561732
24,4,3,0.954063112,0.013998357,0.076917631
24,4,4,0.913275933,0.026403043,0.105277119
24,5,1,0.996945032,0.000933453,0.019429614
24,5,2,0.982712122,0.005277504,0.047526678
24,5,3,0.954088785,0.01400288,0.076901867
24,5,4,0.913379724,0.026395813,0.105215478
24,5,5,0.86161841,0.042130118,0.133078087
24,6,1,0.996948956,0.000933129,0.01942282
24,6,2,0.982723661,0.005278831,0.047519292
24,6,3,0.954161656,0.01399316,0.076863856
24,6,4,0.913463475,0.026393563,0.105200967
24,6,5,0.861763697,0.042124775,0.133086798
24,6,6,0.803023421,0.059969295,0.158789713
24,7,1,0.996949654,0.000933449,0.01942286
24,7,2,0.982730395,0.005279684,0.047511255
24,7,3,0.95417349,0.013996814,0.076857906
24,7,4,0.913476985,0.026402506,0.105201759
24,7,5,0.861772023,0.042142759,0.133103709
24,7,6,0.803015902,0.060001491,0.158845554
24,7,7,0.739009763,0.079422578,0.18292503
24,8,1,0.996954521,0.000932825,0.019412548
24,8,2,0.982739812,0.005281859,0.047502509
24,8,3,0.95421197,0.013998371,0.076854782
24,8,4,0.913561199,0.026401046,0.105214651
24,8,5,0.861897046,0.04214213,0.133124067
24,8,6,0.803160699,0.0600121,0.158893763
24,8,7,0.739274767,0.079417084,0.182921741
24,8,8,0.674507742,0.099051345,0.205466059
25,1,1,0.996956896,0.00092647,0.01935266
25,2,1,0.996960677,0.000926173,0.019347081
25,2,2,0.982672363,0.005275379,0.047472265
25,3,1,0.996964435,0.000925844,0.019330218
25,3,2,0.982698372,0.005272328,0.047438563
25,3,3,0.954078179,0.013980846,0.076819013
25,4,1,0.996967385,0.000925772,0.019326649
25,4,2,0.982717793,0.005271058,0.047426661
25,4,3,0.954131072,0.013977647,0.076790566
25,4,4,0.913288926,0.026399088,0.105229846
25,5,1,0.99697147,0.000925375,0.019319068
25,5,2,0.982732406,0.005271312,0.047408433
25,5,3,0.954188503,0.013972466,0.076748844
25,5,4,0.913378815,0.02639609,0.105162522
25,5,5,0.86161614,0.042130809,0.133049446
25,6,1,0.996972283,0.000925637,0.019317746
25,6,2,0.982733472,0.005273724,0.047416945
25,6,3,0.954187415,0.013979715,0.076772027
